Partlist

Exported from Aquila-2019-ex.brd at 2019/03/31 14:46

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part           Value                  Package                      Library               Position (mil)        Orientation
J1             XH-5                   CON5                         0@Mylibrary-main1     (1450 2250)           MR90
JY901          XH-4                   CON4                         0@Mylibrary-main1     (1531.25 1525)        R180
L3             E1                     LED5MM                       0led                  (1000 2500)           R180
L4             E2                     LED5MM                       0led                  (1000 2200)           R180
LED1           OSL10564-CD4026B-R     DIPS1524W50P254L1260H800Q10N OSL10564-CD4026B-R    (3337.5 637.5)        R180
LED2           OSL10564-CD4026B-R     DIPS1524W50P254L1260H800Q10N OSL10564-CD4026B-R    (3337.5 118.75)       R180
LEDSP          MAIN                   AK500/2                      con-ptr500            (2541 3779)           R0
LEDSP2         MAIN                   AK500/2                      con-ptr500            (2946 3779)           R0
M-SW           TL36PO                 TL3XPO                       switch                (600 1200)            R180
MAIN-SPL       XH-2                   CON2                         forprint              (550 2100)            MR180
MAINSW2        MAIN                   MA03-1                       0con-lstb             (243 2718)            R90
MOTORDRIVER    MDCON                  ML14                         0con-harting-ml       (2050 1250)           MR0
Q3             IRF9530                TO220BV                      transistor-power      (550 3300)            R0
Q4             IRF9530                TO220BV                      transistor-power      (355 1725)            R90
Q5             IRF9530                TO220BV                      transistor-power      (550 3100)            R0
R-B            ?                      R0805                        0@Mylibrary-main1     (1700 1750)           MR0
R-G            ?                      R0805                        0@Mylibrary-main1     (1700 1850)           MR0
R-R            ?                      R0805                        0@Mylibrary-main1     (1700 1950)           MR0
R1             1.2k                   0204/7                       resistor              (1858 3291)           R0
R2             1.2k                   0204/7                       resistor              (1143 3262)           R0
RESET-STM      DTS-6                  DTS-6                        forprint              (1750 925)            R180
S1             SKRPACE010             SW_SKRPACE010                SKRPACE010            (1475 475)            R180
S2             VM                     M251                         switch                (2461 3160)           R180
S3             SKRPACE010             SW_SKRPACE010                SKRPACE010            (3568.75 500)         R180
SG1            F/EE17P                F/EE17P                      buzzer                (932 1702)            R270
SL-R1          1K                     R0805                        0@Mylibrary-main1     (2096 3251)           R270
SP-LED                                CHIPLED_0805                 led                   (2096 3090)           R0
SP-R1          1.2k                   R0805                        0@Mylibrary-main1     (2100 3800)           MR180
SP-R2          20K                    R0805                        0@Mylibrary-main1     (1395 3329)           R90
SP-R3          1.2k                   R0805                        0@Mylibrary-main1     (1350 3800)           MR180
SP-R4          20K                    R0805                        0@Mylibrary-main1     (828 3203)            R180
SP-R5          4.7K                   R0805                        0@Mylibrary-main1     (535 1420)            R90
SP-R6          4.7K                   R0805                        0@Mylibrary-main1     (412.5 2856.25)       R180
SP-RC1         20k                    RTRIM3296W                   resistor              (2200 3700)           R180
SP-RC2         20k                    RTRIM3296W                   resistor              (1450 3700)           R180
SP-SW2         219-02                 CTS-219-02                   switch-dil            (1400 2950)           R180
SPI-LCD                               FE09                         0@con-lsta            (2500 600)            R270
SPI-R          XH-6                   CON6                         0@Mylibrary-main1     (2850 2750)           R270
SRAM-R1        4.7K                   R0805                        0@Mylibrary-main1     (2474 2524.5)         R270
SRAM-R2        10k                    R0805                        0@Mylibrary-main1     (2412.5 2700)         R180
STEPINDI1      LED                    CHIPLED_0805                 led                   (1350 2150)           R270
STEPINDI2      LED                    CHIPLED_0805                 led                   (1350 2250)           R270
STEPINDI3      LED                    CHIPLED_0805                 led                   (1350 2350)           R270
STEPINDI4      LED                    CHIPLED_0805                 led                   (1350 2450)           R270
STM-C1         0.1u                   C0805                        rcl                   (2250 2112.5)         R0
STM-C2         0.1u                   C0805                        rcl                   (2950 2150)           R270
STM-C3         0.1u                   C0805                        rcl                   (2275 1462.5)         R90
STM-C4         0.1u                   C0805                        rcl                   (3037.5 1556.25)      R180
STM-C5         0.1u                   C0805                        rcl                   (3037.5 1487.5)       R0
STM-C6         0.1u                   C0805                        rcl                   (2175 1587.5)         MR0
STM-R1         4.7K                   R0805                        0@Mylibrary-main1     (1950 975)            R270
STM-R2         4.7K                   R0805                        0@Mylibrary-main1     (1950 712.5)          R270
SUOPPLY-SW2    XH-3                   CON3                         forprint              (532.25 2587.25)      MR180
SUPPLY3.3V     MAIN                   AK500/2                      con-ptr500            (150 1800)            R270
SUPPLY5V       MAIN                   AK500/2                      con-ptr500            (150 2200)            R270
